"dte","collectionid","collectionname","marketcupusd"
2021-08-31,504,BoredApeYachtClub,9853281.464200001
2021-09-01,1,MutantApeYachtClub,15432702.405005146
2021-09-01,504,BoredApeYachtClub,10597289.24
2021-09-02,1,MutantApeYachtClub,9655919.789353257
2021-09-02,504,BoredApeYachtClub,10635231.785000002
2021-09-03,1,MutantApeYachtClub,6918777.286228651
2021-09-03,504,BoredApeYachtClub,8371008.925500001
2021-09-04,1,MutantApeYachtClub,4483607.171399999
2021-09-04,504,BoredApeYachtClub,3332365.8083999995
2021-09-05,1,MutantApeYachtClub,5006120.570427003
2021-09-05,504,BoredApeYachtClub,8613225.53250625
2021-09-06,1,MutantApeYachtClub,4573451.841133752
2021-09-06,504,BoredApeYachtClub,15536084.3475
2021-09-07,1,MutantApeYachtClub,3244145.2528874697
2021-09-07,504,BoredApeYachtClub,3076142.43532
2021-09-08,1,MutantApeYachtClub,2382573.8157583904
2021-09-08,504,BoredApeYachtClub,2577198.2249999996
2021-09-09,1,MutantApeYachtClub,2365789.0497942185
2021-09-09,504,BoredApeYachtClub,3781179.5706999996
2021-09-10,1,MutantApeYachtClub,1887543.4314614998
2021-09-10,504,BoredApeYachtClub,6516906.289812501
2021-09-11,1,MutantApeYachtClub,1465518.6115854997
2021-09-11,504,BoredApeYachtClub,1758730.73
2021-09-12,1,MutantApeYachtClub,1246835.5114800003
2021-09-12,504,BoredApeYachtClub,1808530.43
2021-09-13,1,MutantApeYachtClub,1637385.4530124995
2021-09-13,504,BoredApeYachtClub,3422231.44
2021-09-14,1,MutantApeYachtClub,1580072.8090049995
2021-09-14,504,BoredApeYachtClub,2174351.7575
2021-09-15,1,MutantApeYachtClub,2897242.6328698136
2021-09-15,504,BoredApeYachtClub,5239448.1384000005
2021-09-16,1,MutantApeYachtClub,3324712.282782001
2021-09-16,504,BoredApeYachtClub,7591422.047599999
2021-09-17,1,MutantApeYachtClub,1983903.4332654
2021-09-17,504,BoredApeYachtClub,4524683.3
2021-09-18,1,MutantApeYachtClub,1340900.5812651403
2021-09-18,504,BoredApeYachtClub,2675868.583
